                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.63902,                0.52785,                 1.0844,                0.91302,                0.88315,                0.92069,                0.74129,                0.83001,                0.59819,                 1.2206,               0.005809,               0.005809,               0.005809
                    129,                0.65595,                0.53702,                 1.0866,                0.92856,                0.86917,                0.92593,                0.74306,                 0.8369,                0.58844,                 1.2295,               0.005776,               0.005776,               0.005776
                    130,                0.63597,                0.52388,                 1.0754,                0.92979,                0.86781,                0.92449,                0.74462,                0.82944,                0.58398,                  1.223,               0.005743,               0.005743,               0.005743
                    131,                0.65228,                0.53716,                 1.0803,                0.94196,                0.86517,                0.92271,                0.74571,                0.83012,                0.58262,                 1.2246,                0.00571,                0.00571,                0.00571
                    132,                0.63388,                0.52478,                 1.0777,                0.94341,                0.86225,                0.92287,                0.74005,                 0.8314,                0.58878,                 1.2246,               0.005677,               0.005677,               0.005677
                    133,                0.66434,                0.53466,                 1.0814,                0.91969,                0.87802,                0.92225,                0.74292,                0.83019,                0.58513,                 1.2212,               0.005644,               0.005644,               0.005644
                    134,                 0.6449,                 0.5263,                 1.0791,                 0.9171,                0.87349,                0.92179,                0.74006,                0.83634,                0.58363,                 1.2233,               0.005611,               0.005611,               0.005611
                    135,                0.63917,                0.51983,                 1.0783,                 0.9182,                 0.8686,                0.92313,                0.74155,                0.83628,                0.58061,                 1.2196,               0.005578,               0.005578,               0.005578
                    136,                0.63378,                0.52668,                 1.0785,                0.91154,                0.87538,                0.92436,                0.74443,                0.83277,                0.57171,                 1.2187,               0.005545,               0.005545,               0.005545
                    137,                0.64613,                0.52945,                 1.0788,                0.90588,                0.87823,                0.92326,                0.74146,                0.83219,                0.56491,                 1.2203,               0.005512,               0.005512,               0.005512
                    138,                0.64976,                0.52834,                 1.0826,                0.90405,                0.88255,                0.92319,                0.74357,                0.82793,                0.56347,                 1.2157,               0.005479,               0.005479,               0.005479
                    139,                0.63868,                0.52053,                 1.0711,                 0.9067,                0.87959,                0.92292,                0.74465,                 0.8296,                0.57154,                 1.2179,               0.005446,               0.005446,               0.005446
                    140,                0.63458,                0.52432,                  1.075,                0.91199,                0.87681,                0.92334,                0.74932,                0.82692,                0.56139,                 1.2156,               0.005413,               0.005413,               0.005413
                    141,                0.63319,                0.51725,                 1.0773,                  0.899,                0.88444,                0.92361,                0.74925,                0.82275,                0.56064,                 1.2148,                0.00538,                0.00538,                0.00538
                    142,                0.62793,                0.50213,                 1.0699,                0.91034,                0.88936,                0.92523,                0.74993,                0.81536,                0.55539,                 1.2094,               0.005347,               0.005347,               0.005347
                    143,                0.64629,                0.51613,                 1.0749,                0.91337,                0.87922,                0.92209,                0.74834,                0.81557,                0.55407,                  1.211,               0.005314,               0.005314,               0.005314
                    144,                0.63973,                0.51213,                 1.0717,                 0.9156,                0.88179,                0.92151,                 0.7469,                0.82318,                0.55679,                 1.2209,               0.005281,               0.005281,               0.005281
